,period,short_descriptions,temperatures
0,Today  ,Mostly Cloudy,High: 50 °F
1,Tonight  ,Partly Cloudy,Low: 45 °F
2,Saturday  ,Mostly Cloudy,High: 52 °F
3,Saturday Night,Mostly Cloudy then Slight Chance Showers,Low: 43 °F
4,Sunday  ,Chance Showers,High: 50 °F
5,Sunday Night,Chance Showers,Low: 42 °F
6,Monday  ,Partly Sunny,High: 52 °F
7,Monday Night,Mostly Clear,Low: 43 °F
8,Tuesday  ,Sunny,High: 59 °F
