,period,short_descriptions,temperatures
0,Today  ,Chance Showers,High: 73 °F
1,Tonight  ,Chance Showers then Slight Chance Showers,Low: 55 °F
2,Saturday  ,Mostly Sunny,High: 67 °F
3,Saturday Night,Mostly Cloudy then Chance Rain,Low: 51 °F
4,Sunday  ,Chance Rain,High: 55 °F
5,Sunday Night,Rain Likely,Low: 49 °F
6,Monday  ,Rain Likely,High: 54 °F
7,Monday Night,Chance Rain,Low: 48 °F
8,Tuesday  ,Chance Rain,High: 58 °F
