,period,short_descriptions,temperatures
0,Overnight  ,Mostly Clear,Low: 54 °F
1,Friday  ,Sunny,High: 83 °F
2,Friday Night,Mostly Clear,Low: 55 °F
3,Saturday  ,Sunny,High: 84 °F
4,Saturday Night,Mostly Clear,Low: 53 °F
5,Sunday  ,Mostly Sunny,High: 70 °F
6,Sunday Night,Partly Cloudy,Low: 49 °F
7,Monday  ,Partly Sunny,High: 69 °F
8,Monday Night,Mostly Cloudy,Low: 49 °F
