,period,short_descriptions,temperatures
0,Today  ,Isolated Showers then Isolated T-storms,High: 77 °F
1,Tonight  ,Scattered T-storms then Scattered Showers,Low: 55 °F
2,Saturday  ,Mostly Sunny,High: 69 °F
3,Saturday Night,Chance Showers then Rain Likely,Low: 51 °F
4,Sunday  ,Rain Likely,High: 57 °F
5,Sunday Night,Heavy Rain,Low: 48 °F
6,Monday  ,Heavy Rain,High: 57 °F
7,Monday Night,Rain Likely,Low: 46 °F
8,Tuesday  ,Chance Showers,High: 62 °F
